,d_spell,f_spell,champion,side,role,assists,damage_objectives,damage_building,damage_turrets,deaths,gold_earned,kda,kills,level,time_cc,damage_total,damage_taken,total_minions_killed,turret_kills,vision_score,result
0,14,4,Leona,Side.blue,Lane.utility,9,0,63,0,9,5933,1.1111111111111112,1,11,39,13802,17876,25,0,59,False
1,1,4,Ashe,Side.red,Lane.bot_lane,7,4885,9190,4885,5,10168,2.0,3,14,26,84282,17148,166,3,24,True
2,4,12,Galio,Side.blue,Lane.mid_lane,13,1871,3221,1871,7,12038,3.5714285714285716,12,14,34,109405,26211,147,1,29,False
3,4,11,Nunu,Side.red,Lane.jungle,6,0,4920,0,6,7570,1.5,3,12,21,109911,22136,25,0,29,False
4,4,14,Nautilus,Side.blue,Lane.utility,2,0,0,0,3,4377,1.0,1,8,14,17853,6680,37,0,20,False
5,4,12,Graves,Side.blue,Lane.mid_lane,9,5749,15015,5749,9,13221,1.5555555555555556,5,16,20,180588,25928,222,2,19,True
6,4,14,Lulu,Side.red,Lane.utility,19,720,3379,720,9,8140,2.2222222222222223,1,12,33,18443,15711,22,0,59,True
7,14,12,Akali,Side.blue,Lane.mid_lane,6,0,0,0,5,8522,2.8,8,12,2,61170,14934,107,0,14,True
8,6,11,Hecarim,Side.blue,Lane.jungle,2,0,2971,0,4,4876,0.5,0,9,7,72549,14499,14,0,12,False
9,4,11,Kindred,Side.red,Lane.jungle,6,451,20655,451,5,8484,1.6,2,12,2,116340,19406,27,1,24,False
10,12,4,Poppy,Side.red,Lane.top_lane,8,4944,7334,4944,6,9861,2.0,4,15,35,96700,21993,163,1,22,True
11,14,4,Karma,Side.red,Lane.utility,12,802,2338,802,3,6639,4.333333333333333,1,11,21,17182,6837,11,0,47,True
12,14,12,Gwen,Side.blue,Lane.top_lane,6,6202,15216,6202,7,18542,3.0,15,18,12,261314,51957,296,2,45,True
13,3,4,Senna,Side.blue,Lane.utility,16,1826,14087,1826,10,13272,2.3,7,16,26,89787,27102,61,1,79,True
14,14,4,Nami,Side.red,Lane.utility,14,176,506,176,8,7744,1.875,1,13,27,11210,16891,7,1,48,False
15,6,12,TahmKench,Side.blue,Lane.top_lane,12,5225,9160,5225,4,9933,3.5,2,15,27,83365,29067,119,2,15,True
16,7,4,Seraphine,Side.red,Lane.bot_lane,11,2131,3229,2131,3,9867,5.0,4,13,19,81191,9448,146,1,14,True
17,12,4,Malzahar,Side.blue,Lane.mid_lane,12,4221,19241,4221,5,11244,3.0,3,15,57,129984,14700,150,2,28,False
18,4,11,LeeSin,Side.blue,Lane.jungle,11,658,31718,658,8,14825,2.875,12,17,25,185256,44497,37,1,44,True
19,6,11,Hecarim,Side.blue,Lane.jungle,11,764,9590,764,4,12995,5.0,9,16,13,170661,42154,32,1,32,True
20,7,4,Vayne,Side.red,Lane.bot_lane,6,4779,9920,4779,7,14909,2.4285714285714284,11,16,5,156078,23880,193,2,10,True
21,4,12,Sylas,Side.red,Lane.mid_lane,3,607,3669,607,6,9110,1.1666666666666667,4,14,15,80715,24070,136,0,19,False
22,4,12,Poppy,Side.red,Lane.top_lane,8,3059,6687,3059,2,11566,6.5,5,15,25,127963,24368,162,2,12,True
23,4,14,Teemo,Side.red,Lane.top_lane,2,1785,4074,1785,6,9875,1.1666666666666667,5,14,28,104181,16619,181,0,28,False
24,12,14,Qiyana,Side.red,Lane.top_lane,5,0,0,0,7,10141,1.7142857142857142,7,15,12,114217,17480,174,0,18,True
25,12,4,Shen,Side.red,Lane.top_lane,5,0,0,0,5,5661,1.0,0,11,17,42550,17974,99,0,8,False
26,4,7,Jhin,Side.blue,Lane.bot_lane,19,9231,17396,9231,7,16450,4.571428571428571,13,16,26,211453,29049,220,2,40,True
27,4,14,Pyke,Side.blue,Lane.utility,10,0,0,0,13,9266,1.1538461538461537,5,11,17,18173,21965,22,0,58,False
28,4,14,Teemo,Side.blue,Lane.utility,5,0,2080,0,14,8495,0.5714285714285714,3,13,58,40183,27711,27,0,44,False
29,4,3,Lux,Side.blue,Lane.utility,4,0,0,0,2,5844,4.5,5,9,22,15186,3100,18,0,35,True
30,4,12,Akali,Side.red,Lane.mid_lane,8,5697,7111,5697,11,17567,2.4545454545454546,19,18,4,174788,29539,201,2,18,True
31,6,11,Hecarim,Side.blue,Lane.jungle,8,0,11984,0,3,8401,3.6666666666666665,3,13,15,117131,25669,18,0,25,True
32,4,11,Viego,Side.red,Lane.jungle,5,190,22952,190,11,15530,1.4545454545454546,11,17,19,206885,41363,56,0,50,False
33,4,14,Teemo,Side.red,Lane.mid_lane,7,5327,9044,5327,7,11004,1.7142857142857142,5,15,37,112490,16791,164,1,29,False
34,4,12,Viktor,Side.red,Lane.mid_lane,2,961,961,961,8,9966,0.625,3,14,9,124589,19270,210,1,19,False
35,4,21,Jhin,Side.blue,Lane.bot_lane,14,6333,9153,6333,1,13728,18.0,4,15,23,192923,21499,269,3,39,True
36,4,12,Zoe,Side.blue,Lane.mid_lane,9,4677,5728,4677,5,10798,2.4,3,14,11,93372,15576,169,2,23,True
37,7,4,Jinx,Side.blue,Lane.bot_lane,8,5197,25521,5197,9,19503,2.888888888888889,18,17,23,246292,34897,245,3,37,False
38,14,11,Talon,Side.blue,Lane.jungle,7,1678,24886,1678,5,11517,2.8,7,15,4,196128,24923,37,1,16,False
39,4,12,Graves,Side.red,Lane.mid_lane,4,749,749,749,8,7238,0.75,2,10,7,67284,17365,124,0,9,False
40,11,6,Hecarim,Side.blue,Lane.jungle,10,2682,31724,2682,1,11051,20.0,10,15,20,166447,30537,24,3,21,True
41,12,4,Zilean,Side.red,Lane.top_lane,16,0,915,0,6,9304,3.3333333333333335,4,16,53,104884,21881,129,0,35,False
42,12,4,Graves,Side.blue,Lane.top_lane,3,2723,4673,2723,9,11469,1.1111111111111112,7,13,15,120481,24619,165,1,25,False
43,4,14,Nami,Side.blue,Lane.utility,21,3425,3425,3425,3,9082,8.666666666666666,5,13,28,22076,8402,13,1,40,True
44,7,4,Jhin,Side.red,Lane.bot_lane,18,7290,13293,7290,3,16420,9.666666666666666,11,17,34,223011,16586,232,2,18,True
45,4,7,Jhin,Side.red,Lane.bot_lane,8,4612,14801,4612,2,14580,7.0,6,17,26,230696,14718,226,3,28,True
46,11,4,Zed,Side.blue,Lane.jungle,1,0,1940,0,6,7791,1.3333333333333333,7,11,2,69511,17325,19,0,12,False
47,4,12,Syndra,Side.blue,Lane.mid_lane,2,244,592,244,6,9830,1.1666666666666667,5,13,23,110560,15646,191,0,11,False
48,12,14,Akali,Side.red,Lane.mid_lane,4,345,345,345,6,9372,1.5,5,13,2,92829,28600,172,0,21,False
49,12,4,Zilean,Side.blue,Lane.top_lane,3,0,0,0,2,5778,2.0,1,12,13,55658,8946,111,0,14,True
50,4,3,Jinx,Side.blue,Lane.bot_lane,7,11970,22958,11970,6,15094,3.5,14,15,13,167771,18952,193,6,26,True
51,4,3,Sylas,Side.red,Lane.mid_lane,5,688,1923,688,6,8139,1.1666666666666667,2,13,9,100546,19239,150,0,18,False
52,4,1,Aphelios,Side.red,Lane.bot_lane,4,836,2837,836,5,9208,1.8,5,11,12,102294,15116,149,0,21,False
53,12,4,Zilean,Side.blue,Lane.top_lane,17,1454,1454,1454,2,10929,11.0,5,16,42,111012,18755,157,0,27,True
54,4,11,LeeSin,Side.red,Lane.jungle,11,2906,33484,2906,4,15133,5.75,12,15,17,150977,39287,41,3,35,True
55,4,11,LeeSin,Side.red,Lane.jungle,19,4715,38259,4715,2,13282,12.0,5,16,19,174352,39593,17,1,30,True
56,7,4,Lulu,Side.red,Lane.utility,3,453,841,453,3,4226,1.0,0,8,14,7136,6970,15,0,39,False
57,4,14,TwistedFate,Side.blue,Lane.mid_lane,9,0,3272,0,8,11560,1.75,5,14,47,102544,23839,172,0,27,False
58,4,12,Irelia,Side.blue,Lane.top_lane,5,4914,8587,4914,12,15980,0.8333333333333334,5,18,17,213012,40299,265,2,26,False
59,4,12,Ziggs,Side.red,Lane.bot_lane,13,5758,9251,5758,13,13678,1.3076923076923077,4,17,36,198906,38555,210,1,29,False
60,11,4,LeeSin,Side.blue,Lane.jungle,9,2238,34240,2238,3,11599,5.666666666666667,8,14,17,131333,23496,15,4,30,True
61,4,14,Riven,Side.blue,Lane.top_lane,3,4014,4899,4014,3,12443,2.3333333333333335,4,16,29,159236,26317,239,0,23,False
62,3,4,Akshan,Side.blue,Lane.bot_lane,6,1622,1778,1622,19,15133,0.7894736842105263,9,17,3,201044,34160,206,0,42,False
63,4,14,Leblanc,Side.red,Lane.mid_lane,8,1189,1189,1189,0,7561,14.0,6,11,17,60425,7818,113,0,17,True
64,4,11,Graves,Side.red,Lane.jungle,5,0,4974,0,7,14891,2.142857142857143,10,17,29,238434,33104,100,0,27,False
65,11,4,JarvanIV,Side.blue,Lane.jungle,9,979,6980,979,0,7480,12.0,3,12,9,85156,11136,11,0,25,True
66,4,12,Fiora,Side.red,Lane.top_lane,2,8365,8365,8365,8,9314,0.625,3,14,8,100278,31867,150,2,6,False
67,4,12,Ornn,Side.blue,Lane.top_lane,5,1108,2607,1108,7,9963,1.1428571428571428,3,14,34,94230,22619,183,0,14,False
68,4,7,Jhin,Side.blue,Lane.bot_lane,12,2832,8678,2832,5,12357,3.6,6,14,20,150959,19676,201,1,19,False
69,4,7,Jhin,Side.blue,Lane.bot_lane,15,7351,25877,7351,3,17602,8.0,9,18,49,287914,21843,270,3,26,True
70,4,14,Thresh,Side.red,Lane.utility,24,113,1104,113,10,8443,2.5,1,15,46,18677,17935,32,0,54,True
71,14,4,Pantheon,Side.red,Lane.utility,16,1900,3997,1900,7,11178,3.5714285714285716,9,13,27,69734,21939,52,1,39,True
72,4,12,Graves,Side.red,Lane.mid_lane,2,6937,14759,6937,1,17002,21.0,19,15,14,209512,13571,198,2,27,True
73,4,14,Teemo,Side.red,Lane.top_lane,12,3058,10428,3058,9,15407,2.2222222222222223,8,17,59,204588,28087,195,2,44,False
74,12,4,Fiora,Side.red,Lane.top_lane,6,10988,21204,10988,4,15167,3.75,9,18,11,168941,38105,223,4,41,True
75,12,4,Viktor,Side.red,Lane.mid_lane,0,485,485,485,7,5569,0.14285714285714285,1,11,11,57398,13514,125,0,11,False
76,4,11,Graves,Side.blue,Lane.jungle,7,186,25840,186,9,12927,2.111111111111111,12,15,22,173668,26031,27,0,26,False
77,4,11,Viego,Side.red,Lane.jungle,7,3408,41779,3408,2,14641,8.0,9,17,11,211334,22168,39,0,26,True
78,12,4,TwistedFate,Side.blue,Lane.mid_lane,4,578,707,578,5,8050,1.4,3,12,36,91164,14928,156,0,15,False
79,4,3,Aphelios,Side.red,Lane.bot_lane,4,7018,20564,7018,6,13271,1.0,2,15,11,161013,19572,235,3,36,True
80,4,14,Galio,Side.blue,Lane.utility,20,814,814,814,7,9743,3.5714285714285716,5,14,57,45953,28729,44,0,84,False
81,11,4,Viego,Side.red,Lane.jungle,6,0,33340,0,3,10161,5.666666666666667,11,13,14,143264,21276,41,0,29,True
82,4,14,Lissandra,Side.red,Lane.mid_lane,10,4305,6235,4305,2,10693,8.5,7,14,25,104347,11574,156,0,23,True
83,7,4,Sivir,Side.blue,Lane.bot_lane,6,0,1284,0,6,12991,1.5,3,16,0,186506,18933,241,0,13,False
84,4,3,Karthus,Side.red,Lane.mid_lane,0,87,657,87,6,6961,0.0,0,13,13,100572,10549,177,0,11,False
85,4,11,Viego,Side.blue,Lane.jungle,11,306,45677,306,9,17691,2.4444444444444446,11,18,26,256923,53060,36,2,47,False
86,14,4,Brand,Side.red,Lane.utility,8,1806,10224,1806,7,10209,2.142857142857143,7,13,9,69624,12995,53,0,71,True
87,4,12,DrMundo,Side.blue,Lane.top_lane,9,9188,13996,9188,4,12002,3.25,4,16,18,147966,28928,190,2,23,True
88,12,4,Veigar,Side.red,Lane.mid_lane,3,0,0,0,9,7779,0.6666666666666666,3,11,12,64102,15089,108,0,9,False
89,7,4,Ashe,Side.blue,Lane.bot_lane,16,3841,13370,3841,6,10870,2.6666666666666665,0,16,39,121141,16156,196,2,34,True
90,4,12,Galio,Side.red,Lane.mid_lane,20,3243,8839,3243,6,15149,4.5,7,17,55,189427,36265,248,0,43,False
91,4,7,Sona,Side.red,Lane.utility,5,1897,3317,1897,4,7121,1.75,2,12,11,15935,10520,17,0,50,False
92,4,11,Nunu,Side.red,Lane.jungle,7,0,7671,0,6,7812,1.3333333333333333,1,13,19,110665,28665,11,0,28,False
93,11,4,JarvanIV,Side.red,Lane.jungle,0,526,16896,526,3,7041,0.3333333333333333,1,11,3,122031,16138,5,0,19,False
94,14,12,Jax,Side.blue,Lane.top_lane,7,6620,13347,6620,2,11037,5.5,4,15,9,121519,20539,194,2,13,True
95,4,14,Braum,Side.red,Lane.utility,15,246,534,246,3,7895,5.333333333333333,1,14,30,24225,15219,39,0,76,True
96,4,1,Senna,Side.red,Lane.bot_lane,8,2605,5667,2605,6,16060,2.1666666666666665,5,15,43,161253,17105,235,0,23,False
97,4,14,Rakan,Side.red,Lane.utility,11,466,466,466,3,5506,4.333333333333333,2,8,26,11623,5557,13,0,29,True
98,4,11,Zed,Side.blue,Lane.jungle,11,1860,14420,1860,5,12497,3.6,7,16,3,174244,24193,24,1,33,True
99,12,4,Gragas,Side.blue,Lane.top_lane,5,1671,6854,1671,7,13720,1.4285714285714286,5,17,44,233375,42563,273,1,11,False
100,4,14,Karma,Side.blue,Lane.utility,10,777,777,777,9,5611,1.1111111111111112,0,8,15,11642,12110,14,0,38,True
101,4,11,Trundle,Side.blue,Lane.jungle,5,133,20390,133,7,8335,1.0,2,13,23,104619,31011,27,0,23,False
102,4,1,Akshan,Side.blue,Lane.mid_lane,2,1208,5011,1208,3,7056,1.3333333333333333,2,11,0,79077,10293,140,0,25,False
103,4,14,Alistar,Side.blue,Lane.utility,9,343,343,343,8,9270,1.625,4,12,45,19457,21577,29,0,100,False
104,4,14,Karma,Side.blue,Lane.utility,19,2376,5453,2376,9,9917,2.3333333333333335,2,15,34,43180,19551,26,1,89,True
105,11,4,Rengar,Side.blue,Lane.jungle,5,1336,17149,1336,3,7710,4.0,7,11,5,89865,15114,13,1,22,True
106,4,12,Yasuo,Side.red,Lane.top_lane,3,6207,6468,6207,3,9688,2.0,3,14,18,126754,12442,198,2,14,True
107,4,14,Thresh,Side.blue,Lane.utility,15,1226,1768,1226,1,6711,16.0,1,10,26,18999,7774,28,1,41,True
108,11,4,LeeSin,Side.red,Lane.jungle,5,1023,19475,1023,2,9866,6.5,8,12,16,111244,18479,38,1,19,True
109,4,3,Lulu,Side.red,Lane.utility,7,490,490,490,6,5267,1.1666666666666667,0,10,19,10935,9758,12,0,38,False
110,4,7,Twitch,Side.red,Lane.bot_lane,8,2740,2740,2740,6,8861,2.3333333333333335,6,12,8,68413,19228,109,2,15,True
111,14,4,Nami,Side.red,Lane.utility,17,2983,3872,2983,3,8325,7.0,4,12,16,18784,9145,20,2,34,True
112,4,14,Teemo,Side.blue,Lane.top_lane,1,6523,6715,6523,7,8858,0.42857142857142855,2,13,23,96304,18050,183,2,17,False
113,11,4,Fiddlesticks,Side.blue,Lane.jungle,9,0,6206,0,6,16731,3.6666666666666665,13,17,44,210317,39733,55,0,65,False
114,12,4,Veigar,Side.red,Lane.mid_lane,7,3217,7760,3217,5,11541,3.0,8,15,29,137980,17426,190,1,13,True
115,4,12,Ryze,Side.blue,Lane.mid_lane,6,2813,10597,2813,3,13353,5.666666666666667,11,15,24,185793,16348,184,2,22,True
116,12,4,Jayce,Side.red,Lane.top_lane,4,9949,12963,9949,3,14179,6.0,14,15,7,150046,12260,183,5,22,True
117,4,11,XinZhao,Side.blue,Lane.jungle,0,0,7165,0,6,6000,1.0,6,9,11,51433,15391,9,0,16,False
118,4,12,Sett,Side.blue,Lane.top_lane,12,2687,5459,2687,2,8724,8.5,5,13,20,75694,14446,109,0,37,True
119,4,7,Aphelios,Side.red,Lane.bot_lane,6,10487,13050,10487,4,11067,2.5,4,13,18,129925,11010,196,2,18,True
120,4,3,Vayne,Side.red,Lane.bot_lane,5,4447,7016,4447,4,12632,3.0,7,13,15,134754,13732,203,1,22,False
121,4,3,Yone,Side.red,Lane.bot_lane,9,1711,1902,1711,8,14254,1.5,3,16,13,221420,24922,284,1,32,False
122,4,12,Renekton,Side.red,Lane.top_lane,5,5765,5765,5765,6,12255,1.8333333333333333,6,16,17,142888,40557,230,2,14,False
123,4,14,Pyke,Side.blue,Lane.utility,8,204,1882,204,6,7902,1.8333333333333333,3,11,16,20770,13543,30,0,63,True
124,11,4,Kindred,Side.blue,Lane.jungle,6,678,34442,678,4,8449,2.5,4,11,3,113045,16678,16,1,15,True
125,12,4,Sylas,Side.red,Lane.mid_lane,9,4479,6649,4479,5,13258,3.4,8,15,30,138256,28763,198,2,18,False
126,4,12,Vex,Side.blue,Lane.mid_lane,7,3384,4962,3384,2,10554,5.5,4,14,22,110603,9201,178,1,25,True
127,4,12,Corki,Side.red,Lane.mid_lane,8,7986,16181,7986,8,17169,2.25,10,16,5,195307,21123,212,4,21,True
128,12,4,Syndra,Side.blue,Lane.mid_lane,5,1128,1826,1128,9,8822,1.0,4,12,23,63591,17268,124,0,13,False
129,4,14,Brand,Side.blue,Lane.utility,7,261,261,261,9,6249,0.8888888888888888,1,10,1,37381,13440,44,0,42,False
130,4,14,Rell,Side.blue,Lane.utility,10,0,1439,0,10,11065,1.1,1,18,44,35371,41331,45,0,131,False
131,4,7,Jinx,Side.red,Lane.bot_lane,2,112,280,112,5,6722,0.6,1,11,8,80341,12661,164,0,9,False
132,4,12,TwistedFate,Side.red,Lane.mid_lane,10,4404,6679,4404,2,11875,6.5,3,15,45,125599,16244,186,3,31,True
133,4,11,LeeSin,Side.red,Lane.jungle,9,766,14797,766,3,14186,8.0,15,15,14,151660,32767,29,0,35,True
134,4,7,Caitlyn,Side.red,Lane.bot_lane,20,14758,23060,14758,7,14111,3.5714285714285716,5,15,19,177940,18137,202,4,33,True
135,4,7,Karma,Side.red,Lane.utility,7,418,1059,418,2,5729,4.5,2,9,12,15789,7424,8,0,43,True
136,4,12,Fiora,Side.blue,Lane.top_lane,10,10773,11909,10773,6,12357,3.5,11,15,16,115850,31202,138,4,13,True
137,4,12,Kled,Side.red,Lane.mid_lane,10,780,780,780,8,10982,2.25,8,14,13,88405,45913,136,0,14,False
138,4,12,Syndra,Side.blue,Lane.mid_lane,9,1827,8603,1827,3,13742,4.333333333333333,4,17,26,204510,11190,262,1,42,False
139,4,12,Singed,Side.blue,Lane.top_lane,12,1299,5487,1299,10,10316,1.5,3,16,32,131755,38075,176,0,21,False
140,4,11,Viego,Side.blue,Lane.jungle,11,763,27329,763,11,16028,1.9090909090909092,10,17,35,219484,43413,66,1,65,False
141,4,14,Nunu,Side.blue,Lane.mid_lane,4,0,0,0,4,4640,1.25,1,9,19,42734,12153,68,0,5,False
142,7,4,Caitlyn,Side.blue,Lane.bot_lane,10,14131,40631,14131,8,18481,3.75,20,16,12,225318,32319,203,4,31,True
143,4,14,TwistedFate,Side.blue,Lane.mid_lane,10,6800,11937,6800,5,13927,3.2,6,17,50,146172,17289,196,3,25,True
144,4,11,RekSai,Side.red,Lane.jungle,9,1451,13293,1451,7,14569,4.0,19,15,29,139737,26125,14,0,32,True
145,14,6,Vladimir,Side.red,Lane.top_lane,0,4147,4147,4147,3,9690,2.3333333333333335,7,14,3,106889,16668,155,2,8,True
146,4,12,Ziggs,Side.red,Lane.mid_lane,1,319,319,319,6,4013,0.16666666666666666,0,9,13,48302,9566,95,0,7,False
147,4,12,Ornn,Side.blue,Lane.top_lane,14,3067,8337,3067,8,11154,2.0,2,16,44,105176,49618,144,1,24,False
148,4,7,Jinx,Side.blue,Lane.bot_lane,8,2446,8405,2446,5,9417,2.4,4,13,12,106475,13008,148,0,29,True
149,4,3,Twitch,Side.blue,Lane.bot_lane,10,2272,5375,2272,6,13545,3.1666666666666665,9,15,21,137355,18976,170,0,47,False
150,4,12,Camille,Side.blue,Lane.top_lane,4,5504,5504,5504,1,7607,5.0,1,13,16,63193,14808,135,1,9,True
