,d_spell,f_spell,champion,side,role,assists,damage_objectives,damage_building,damage_turrets,deaths,gold_earned,kda,kills,level,time_cc,damage_total,damage_taken,total_minions_killed,turret_kills,vision_score,result
0,14,4,Leona,Side.blue,Lane.utility,6,0,0,0,6,6043,1.3333333333333333,2,9,23,15214,9404,36,0,47,False
1,11,4,Udyr,Side.red,Lane.jungle,8,547,46480,547,3,12919,6.666666666666667,12,16,32,194463,25782,23,1,20,True
2,14,4,Xerath,Side.red,Lane.utility,2,168,444,168,7,5641,0.2857142857142857,0,10,22,34038,14079,26,0,38,False
3,14,4,Zoe,Side.red,Lane.mid_lane,8,2492,3082,2492,3,10688,5.0,7,14,29,94369,11128,133,2,17,True
4,4,12,Camille,Side.red,Lane.top_lane,8,6419,7408,6419,5,12368,4.2,13,15,25,110580,20404,141,2,24,True
5,4,14,Alistar,Side.red,Lane.utility,14,625,1144,625,3,6471,5.0,1,11,37,17852,11112,25,0,30,True
6,14,4,Thresh,Side.red,Lane.utility,20,529,850,529,6,8208,3.6666666666666665,2,13,39,20610,17838,33,0,63,True
7,3,4,Xayah,Side.red,Lane.bot_lane,9,3657,16688,3657,5,16108,3.6,9,17,18,244314,20799,262,2,38,False
8,4,12,Sylas,Side.blue,Lane.mid_lane,10,7724,9580,7724,4,10734,5.0,10,14,27,116207,28866,156,2,11,True
9,11,4,XinZhao,Side.blue,Lane.jungle,2,1322,14485,1322,7,10050,1.4285714285714286,8,12,14,110857,25643,24,1,24,False
10,3,4,Jhin,Side.blue,Lane.bot_lane,2,459,2081,459,9,5453,0.4444444444444444,2,9,12,46588,13083,94,0,7,False
11,11,4,Graves,Side.red,Lane.jungle,2,0,6259,0,5,6614,0.8,2,11,11,96989,16934,12,0,21,False
12,3,4,Jhin,Side.blue,Lane.bot_lane,2,1123,1123,1123,9,9756,0.8888888888888888,6,12,15,87263,14887,125,1,12,False
13,4,1,Draven,Side.blue,Lane.bot_lane,3,9381,41009,9381,3,19293,5.333333333333333,13,17,11,282267,19553,267,1,32,True
14,12,4,Renekton,Side.blue,Lane.top_lane,3,4207,5705,4207,4,9121,1.75,4,13,12,102586,20290,153,2,6,False
15,12,4,Irelia,Side.red,Lane.mid_lane,0,0,0,0,10,5187,0.0,0,10,5,56950,18866,126,0,10,False
