,d_spell,f_spell,champion,side,assists,damage_objectives,damage_building,damage_turrets,deaths,gold_earned,kda,kills,level,time_cc,damage_total,damage_taken,total_minions_killed,turret_kills,vision_score,result
0,12,4,Viktor,Side.red,5,1144,1144,1144,14,8732,0.42857142857142855,1,13,21,103329,31230,159,0,14,False
1,4,7,Kaisa,Side.red,16,8030,18975,8030,9,19383,2.7777777777777777,9,18,0,295386,39179,269,5,38,True
2,4,12,LeeSin,Side.red,1,8702,9782,8702,8,14166,1.375,10,14,12,137625,35191,193,3,28,False
3,4,12,Ziggs,Side.blue,13,29156,34282,29156,0,16811,21.0,8,16,12,258936,8486,288,5,26,True
4,3,4,Sona,Side.blue,21,2664,5047,2664,2,9511,12.5,4,14,12,20349,11131,15,2,49,True
5,4,12,MonkeyKing,Side.red,9,7176,14392,7176,4,10232,2.75,2,15,6,109560,22680,187,2,29,True
6,7,4,Ezreal,Side.blue,8,15651,27717,15651,3,17132,6.666666666666667,12,15,8,207805,20556,220,5,25,True
7,4,14,Lulu,Side.blue,2,0,0,0,9,4953,0.2222222222222222,0,9,17,3633,11329,12,0,35,False
8,14,4,Zilean,Side.red,5,376,3866,376,4,6173,1.25,0,12,11,34685,11842,32,0,55,False
9,4,12,Fiora,Side.red,4,5508,8749,5508,6,10226,1.1666666666666667,3,14,3,116273,26537,209,1,15,False
10,12,4,Viktor,Side.red,3,3326,4662,3326,7,11431,1.7142857142857142,9,14,14,100989,17455,160,1,12,False
11,12,4,Sett,Side.red,1,3826,3826,3826,8,6822,0.5,3,11,13,50907,22356,100,1,6,False
12,14,4,Pyke,Side.red,14,174,174,174,8,10547,2.125,3,14,25,26635,20575,37,0,88,False
13,4,3,Yasuo,Side.red,4,1041,3288,1041,6,8732,1.0,2,12,21,121971,22315,164,0,10,False
14,14,12,Gwen,Side.blue,0,947,1667,947,12,8724,0.25,3,13,4,87835,27938,138,1,13,False
15,4,3,Vayne,Side.red,1,5409,13709,5409,2,9745,1.5,2,14,5,104173,12065,191,3,15,True
16,14,11,Shaco,Side.blue,4,789,10538,789,2,10845,6.5,9,14,18,143337,18274,13,1,28,True
17,4,11,MasterYi,Side.blue,3,295,23362,295,7,11056,1.2857142857142858,6,14,3,155267,32315,16,0,30,False
18,14,4,Vex,Side.red,20,1324,2740,1324,11,9469,2.0,2,13,37,47222,21298,16,2,83,True
19,4,21,Warwick,Side.red,5,2946,2946,2946,7,8034,1.0,2,12,10,66833,25825,126,1,10,False
20,4,14,Vex,Side.red,0,577,635,577,9,5057,0.0,0,10,21,27888,14852,29,0,38,False
21,4,14,Gragas,Side.blue,9,293,5196,293,7,12992,2.4285714285714284,8,17,42,147369,30587,201,1,21,False
22,12,4,Irelia,Side.red,11,3139,11090,3139,9,11940,1.6666666666666667,4,15,15,139818,28489,199,1,17,True
23,7,4,Jinx,Side.red,15,12151,23262,12151,2,14343,12.5,10,15,16,176487,13059,174,4,25,True
24,4,14,Zed,Side.red,9,6977,10358,6977,5,12526,3.4,8,15,8,138788,20683,189,4,37,True
25,14,4,Lulu,Side.red,8,199,715,199,4,7030,3.0,4,12,22,16564,10983,16,0,43,False
26,7,4,Jinx,Side.red,8,3454,16816,3454,4,11192,4.25,9,14,17,123078,14540,161,2,19,True
27,4,11,Graves,Side.blue,9,115,10104,115,2,6748,5.0,1,11,13,100520,12521,6,0,16,True
